,artist,song_title,album,genres,lyrics,clean_lyrics,token,sentiment,score
10,The Adams,Waiting,The Adams,"indonesian alternative rock, indonesian indie, indonesian indie rock",[Verse 1]Waiting Waiting for you tonight I'm dreaming you are here With me tonight Someday I will be by your side Together we climb mountains Across the sea[Chorus]Believe in me that you want me to You never let somebody close to you Just promise me that you'll never let me down And our love is gonna last forever Believe in me that you want me to You never let somebody close to you Just promise me that you'll never let me down Love me 'til the end of time[Verse 2]Waiting Gonna be close to you Every time I see you What you gonna do I'm waiting You gonna close to me No matter how the people want to say,waiting waiting tonight dreaming tonight someday side together climb mountains across sea believe want never let somebody close promise never let love gonna last forever believe want never let somebody close promise never let love til end time waiting gonna close every time see gonna waiting gonna close matter people want say,"['waiting', 'waiting', 'tonight', 'dreaming', 'tonight', 'someday', 'side', 'together', 'climb', 'mountains', 'across', 'sea', 'believe', 'want', 'never', 'let', 'somebody', 'close', 'promise', 'never', 'let', 'love', 'gon', 'na', 'last', 'forever', 'believe', 'want', 'never', 'let', 'somebody', 'close', 'promise', 'never', 'let', 'love', 'til', 'end', 'time', 'waiting', 'gon', 'na', 'close', 'every', 'time', 'see', 'gon', 'na', 'waiting', 'gon', 'na', 'close', 'matter', 'people', 'want', 'say']",positif,0.7770712971687317
11,Fstvlst,Orang Orang Di Kerumunan,Hits Kitsch,"indonesian indie, indonesian indie rock, yogyakarta indie","[Lirik ""Orang Orang Di Kerumunan""][Verse 1]Orang-orang di kerumunan berjejalan di lingkaran Mengitari satu altar sesembahan Mereka menari dengan mata terpejam Kerasukan Jiwanya sudah tak lagi bersemayam[Verse 2]Lalu meracau Tak setuju maka beda kubu Tak sepaham lantas baku hantam Yang seiman saling menerakakan Merekalah kerumunan yang lupa Kerumunan yang lupa Bahwasanya aku, kau, mereka sama Hanya manusia Sama manusianya Yang seharusnya saling peluk selayak saudara Saling jaga seperti keluarga Berbagi cinta, berbagi bahagia Menjauhi kerumunan yang lupa Kerumunan yang lupa Bahwasannya aku, kau, mereka",orang orang kerumun orang orang kerumun jejal lingkar kitar altar sembah tari mata pejam rasuk jiwa semayam racau tuju beda kubu paham lantas baku hantam iman neraka kerumun lupa kerumun lupa kau manusia manusia peluk layak saudara jaga keluarga bagi cinta bagi bahagia jauh kerumun lupa kerumun lupa bahwasannya kau,"['orang', 'orang', 'kerumun', 'orang', 'orang', 'kerumun', 'jejal', 'lingkar', 'kitar', 'altar', 'sembah', 'tari', 'mata', 'pejam', 'rasuk', 'jiwa', 'semayam', 'racau', 'tuju', 'beda', 'kubu', 'paham', 'lantas', 'baku', 'hantam', 'iman', 'neraka', 'kerumun', 'lupa', 'kerumun', 'lupa', 'kau', 'manusia', 'manusia', 'peluk', 'layak', 'saudara', 'jaga', 'keluarga', 'bagi', 'cinta', 'bagi', 'bahagia', 'jauh', 'kerumun', 'lupa', 'kerumun', 'lupa', 'bahwasannya', 'kau']",negatif,0.9956308603286743
12,Morfem,Kuning,Dramaturgi Underground,"indonesian indie, indonesian indie rock, indonesian rock",[Verse 1]Halusnya awan Menyatu dan menghalang Namun kau pun hanya bisu Tetap sinariku dengan cahaya Kuningmu[Verse 2]Bagai berputar Jauh sudah terasa Namun jarak yang kutempuh Telah membuatku lebih dekat lagi Denganmu[Pre-Chorus]Ceritakan padaku Indahnya keluh kesahmu Sebelum angin senja membasuh Jauh[Chorus]Tetaplah di istanamu Langit yang biru kelabu Biarlah rinduku kusimpan bersama mimpiku Bila kah kau ajak ku Kembali bertemu selalu Kutunggu kuningmu Disetiap waktuku,halus awan satu halang kau bisu sinar cahaya kuning putar jarak tempuh buat dengan cerita pada indah keluh kesah angin senja basuh tetap istana langit biru kelabu biar rindu simpan mimpi kah kau ajak ku temu tunggu kuning tiap waktu,"['halus', 'awan', 'satu', 'halang', 'kau', 'bisu', 'sinar', 'cahaya', 'kuning', 'putar', 'jarak', 'tempuh', 'buat', 'dengan', 'cerita', 'pada', 'indah', 'keluh', 'kesah', 'angin', 'senja', 'basuh', 'tetap', 'istana', 'langit', 'biru', 'kelabu', 'biar', 'rindu', 'simpan', 'mimpi', 'kah', 'kau', 'ajak', 'ku', 'temu', 'tunggu', 'kuning', 'tiap', 'waktu']",positif,0.9511569738388062
13,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya",Lagipula Hidup Akan Berakhir,indonesian pop,"[Lirik “Berdansalah, Karir Ini Tak Ada Artinya”][Verse 1]Besok coba kau izin pulang cepat Bilang saja siapa sedang sakit Lusa coba izin terlambat Bilang saja kau celaka sedikit[Verse 2]Habiskan cutimu sebelum resign I know you’re scared, but it’s totally fine Karena kau bukan mesin assembly line Lihat promo liburan, babe that’s a sign[Pre-Chorus]Oh, karena kutahu Kalimat itu ada di ujung mulutmu Oh, karena kau tahu Tak mau lakukan itu seumur hidupmu[Chorus]Lakukan apa yang kau mau, sekarang Saat hatimu bergerak, jangan kau larang Hidup ini tak ada artinya, maka Kau bebas mengarang maknanya seorang Lakukan apa yang kau mau, sekarang Saat hatimu bergerak, jangan kau larang Lagipula hidup akan berakhir, maka Lakukan apa yang kau mau, sekarang",dansa karir besok coba kau izin pulang cepat bilang sakit lusa coba izin lambat bilang kau celaka habis cuti resign know scared totally fine kau mesin assembly line lihat promo libur babe sign tahu kalimat ujung mulut kau laku umur hidup laku kau hati gerak kau larang hidup kau bebas arang makna laku kau hati gerak kau larang lagipula hidup laku kau,"['dansa', 'karir', 'besok', 'coba', 'kau', 'izin', 'pulang', 'cepat', 'bilang', 'sakit', 'lusa', 'coba', 'izin', 'lambat', 'bilang', 'kau', 'celaka', 'habis', 'cuti', 'resign', 'know', 'scared', 'totally', 'fine', 'kau', 'mesin', 'assembly', 'line', 'lihat', 'promo', 'libur', 'babe', 'sign', 'tahu', 'kalimat', 'ujung', 'mulut', 'kau', 'laku', 'umur', 'hidup', 'laku', 'kau', 'hati', 'gerak', 'kau', 'larang', 'hidup', 'kau', 'bebas', 'arang', 'makna', 'laku', 'kau', 'hati', 'gerak', 'kau', 'larang', 'lagipula', 'hidup', 'laku', 'kau']",negatif,0.9953984618186951
14,The Adams,Pelantur,Agterplaas,"indonesian alternative rock, indonesian indie, indonesian indie rock","[Verse 1]Secangkir kopi di pagi hari Bicara seputar sana-sini Tak disadari lewati hari tanpa nutrisi Aku tak tahu yang engkau mau Ku takkan mau walau kutahu Iyakan saja agar wacana ini berlalu[Pre-Chorus]Kau mengkritisi Berfilosofi Dan berteori Tanpa makna, tanpa isi Seakan yang paling mengerti[Chorus](Luangkan waktu ‘tuk berpikir)(Jangan pernah mudah tersindir)(Nanti engkau akan tersingkir)Lihatlah s’kitarmu Bukalah matamu Masih ada waktu Banyak hal yang perlu engkau tahu[Verse 2]Aku tak tahu yang engkau mau Ku takkan mau walau kutahu Iyakan saja agar wacana ini berlalu",cangkir kopi pagi bicara putar sadar lewat nutrisi engkau ku tak tahu iya wacana kau kritisi filosof teori makna isi akan erti luang tuk pikir mudah sindir engkau singkir lihat kitar buka mata engkau engkau ku tak tahu iya wacana,"['cangkir', 'kopi', 'pagi', 'bicara', 'putar', 'sadar', 'lewat', 'nutrisi', 'engkau', 'ku', 'tak', 'tahu', 'iya', 'wacana', 'kau', 'kritisi', 'filosof', 'teori', 'makna', 'isi', 'akan', 'erti', 'luang', 'tuk', 'pikir', 'mudah', 'sindir', 'engkau', 'singkir', 'lihat', 'kitar', 'buka', 'mata', 'engkau', 'engkau', 'ku', 'tak', 'tahu', 'iya', 'wacana']",negatif,0.9872083067893982
15,Lomba Sihir,Ribuan Memori,Ribuan Memori,,"[Lirik ""Ribuan Memori""][Verse 1: Natasha Udu]Dalam kepalamu ribuan memori Mana yang membuatmu s'perti hari ini?Jatuh pertamamu dari sepeda?Penampakan hantu di rumah tua?[Pre-Chorus: Hindia]Serpihan berbahagia Atau justru membuatmu merana?[Chorus]Jika ada ingatan yang terus menghangatkan dirimu Jaga apinya, hadapi hari, teruslah kau begitu Jika ada pedih yang panjang mengikat tubuhmu Percayalah, dunia tak selamanya harus begitu[Verse 2: Rayhan Noor]Karyawisata, liburan pertama, kado dari Mama dan Papa Kar'na berhasil naik kelas, walau rata-rata pas-pasan Nekat pulang lewat jam malam, dilarang jalan-jalan sebulan Setahun bimbingan belajar, gawat! Ujian akhir sekolah[Pre-Chorus: Hindia]Serpihan berbahagia Atau justru membuatmu merana? Oh Pertahankan atau melupa?Pilihanmu kawan tidak mengapa Oh tak apa-apa",ribu memori natasha udu kepala ribu memori buat perti jatuh pertama sepeda tampak hantu rumah tua hindia serpih bahagia buat merana ingat hangat diri jaga api hadap terus kau pedih ikat tubuh percaya dunia rayhan noor karyawisata libur kado mama papa kar na hasil kelas pas pas nekat pulang jam malam larang jalan jalan bulan tahun bimbing ajar gawat uji sekolah hindia serpih bahagia buat merana tahan lupa pilih kawan,"['ribu', 'memori', 'natasha', 'udu', 'kepala', 'ribu', 'memori', 'buat', 'perti', 'jatuh', 'pertama', 'sepeda', 'tampak', 'hantu', 'rumah', 'tua', 'hindia', 'serpih', 'bahagia', 'buat', 'merana', 'ingat', 'hangat', 'diri', 'jaga', 'api', 'hadap', 'terus', 'kau', 'pedih', 'ikat', 'tubuh', 'percaya', 'dunia', 'rayhan', 'noor', 'karyawisata', 'libur', 'kado', 'mama', 'papa', 'kar', 'na', 'hasil', 'kelas', 'pas', 'pas', 'nekat', 'pulang', 'jam', 'malam', 'larang', 'jalan', 'jalan', 'bulan', 'tahun', 'bimbing', 'ajar', 'gawat', 'uji', 'sekolah', 'hindia', 'serpih', 'bahagia', 'buat', 'merana', 'tahan', 'lupa', 'pilih', 'kawan']",positif,0.9392684102058411
16,rumahsakit,Kabar Bahagia,About Time,"indonesian indie, math rock","[Lirik ""Kabar Bahagia""][Verse 1]Hari yang indah, kudengar berita Yang membuat siapa saja 'kan melompat bahagia Anganku berkelana, ku terbayang s’tengah tertawa Akan indahnya suasana saat kau ada[Chorus]Kau datang membawa tak sekadar rasa berbunga-bunga saja Kau kabar bahagia Dan kau tiba di dunia, sirna semua duka dengan sederhana Kau kabar bahagia[Verse 2]Kau sempurna, sungguh indah Nikmat tiada tara apabila bersuara Bawa nada-nada suka, semangatku 'tuk melangkah Hadapi dunia yang fana dengan tertawa, ha ha ha aa[Chorus]Kau datang membawa tak sekadar rasa berbunga-bunga saja Kau kabar bahagia Dan kau tiba di dunia, sirna semua duka dengan sederhana Kau kabar bahagia Kau datang membawa tak sekadar rasa berbunga-bunga saja Kau kabar gembira, kau kabar bahagia Dan kau tiba di dunia, sirna semua duka dengan sederhana Kau kabar gembira, kau kabar bahagia",kabar bahagia indah dengar berita lompat bahagia angan kelana ku bayang tertawa indah suasana kau kau bawa bunga bunga kau kabar bahagia kau dunia sirna duka sederhana kau kabar bahagia kau sempurna sungguh indah nikmat tiada tara suara bawa nada nada suka semangat tuk lang hadap dunia fana tertawa ha ha ha kau bawa bunga bunga kau kabar bahagia kau dunia sirna duka sederhana kau kabar bahagia kau bawa bunga bunga kau kabar gembira kau kabar bahagia kau dunia sirna duka sederhana kau kabar gembira kau kabar bahagia,"['kabar', 'bahagia', 'indah', 'dengar', 'berita', 'lompat', 'bahagia', 'angan', 'kelana', 'ku', 'bayang', 'tertawa', 'indah', 'suasana', 'kau', 'kau', 'bawa', 'bunga', 'bunga', 'kau', 'kabar', 'bahagia', 'kau', 'dunia', 'sirna', 'duka', 'sederhana', 'kau', 'kabar', 'bahagia', 'kau', 'sempurna', 'sungguh', 'indah', 'nikmat', 'tiada', 'tara', 'suara', 'bawa', 'nada', 'nada', 'suka', 'semangat', 'tuk', 'lang', 'hadap', 'dunia', 'fana', 'tertawa', 'ha', 'ha', 'ha', 'kau', 'bawa', 'bunga', 'bunga', 'kau', 'kabar', 'bahagia', 'kau', 'dunia', 'sirna', 'duka', 'sederhana', 'kau', 'kabar', 'bahagia', 'kau', 'bawa', 'bunga', 'bunga', 'kau', 'kabar', 'gembira', 'kau', 'kabar', 'bahagia', 'kau', 'dunia', 'sirna', 'duka', 'sederhana', 'kau', 'kabar', 'gembira', 'kau', 'kabar', 'bahagia']",positif,0.9933186769485474
17,Hindia,Nabi Palsu,Lagipula Hidup Akan Berakhir,indonesian pop,"[Lirik “Nabi Palsu”][Verse 1]Di sebuah kota, pinggir Jakarta Ada seorang anak belajar dansa Dengan bayangannya, dengan lukanya Dibalut lagu, sedikit pas-pasan[Pre-Chorus]Dan tanpa disangka, mimpinya jadi besar Awalnya ia dambakan, ternyata merepotkan[Chorus]Maka ia berpesan, pada dasarnya semua orang hipokrit Percaya hanya pada dirimu, bukan idolamu yang liriknya berbelit Juga dengan mereka, yang menjual air mata setiap menit Atau dengan pelaku skena, yang bagimu keren selangit[Verse 2]Banjir acara, di Ibu Kota Ada seorang pria belajar terbuka Dengan dirinya, perasaannya Dibalut lagu, masih pas-pasan[Pre-Chorus]Dan tanpa diminta, orang perdebatkannya Tanpa titik tengah, entah benci dan suka",nabi palsu kota pinggir jakarta anak ajar dansa bayang luka balut lagu pas pas sangka mimpi damba repot pesan dasar orang hipokrit percaya diri idola nya belit jual air mata menit laku skena bagi keren langit banjir acara kota pria ajar buka asa balut lagu pas pas orang debat titik benci suka,"['nabi', 'palsu', 'kota', 'pinggir', 'jakarta', 'anak', 'ajar', 'dansa', 'bayang', 'luka', 'balut', 'lagu', 'pas', 'pas', 'sangka', 'mimpi', 'damba', 'repot', 'pesan', 'dasar', 'orang', 'hipokrit', 'percaya', 'diri', 'idola', 'nya', 'belit', 'jual', 'air', 'mata', 'menit', 'laku', 'skena', 'bagi', 'keren', 'langit', 'banjir', 'acara', 'kota', 'pria', 'ajar', 'buka', 'asa', 'balut', 'lagu', 'pas', 'pas', 'orang', 'debat', 'titik', 'benci', 'suka']",negatif,0.9812451601028442
18,".Feast, The Panturas",Gelora,Gelora,indonesian indie,"Lirik ""Gelora""[Verse 1: Abyan Nabilio]Bergelora di penjuru tenggara Sorak-sorai menggebuk gendang telinga Malas dan pasrah 'kan kutaklukkan Pertarungan tiba, saatnya buktikan Ku menyelam hingga palung terdalam Lompat tinggi lewati gedung menjulang Cara yang curang sigap kulawan Anthem yang keras, kita nyanyikan[Chorus]Kibarkanlah, kobarkanlah Merah yang memanas di dalam dada[Verse 2: Baskara Putra]Bergelora taklukkan semesta Tabuhlah suara gendang Nusantara Kalah menang perihal belakang Hanya perlu nyali sepanas arang Tendang tiang-tiang yang menghadang Jika terlalu keras, panjat sampai atas Tak ada halangan yang selamanya kekal Indonesia punya banyak akal",gelora abyan nabilio gelora penjuru tenggara sorak sorai gebuk gendang telinga malas pasrah takluk tarung bukti ku selam palung dalam lompat lewat gedung julang curang sigap lawan anthem keras nyanyi kibar kobar merah panas dada baskara putra gelora takluk semesta tabuh suara gendang nusantara kalah menang perihal nyali panas arang tendang tiang tiang menghadang keras panjat halang kekal indonesia akal,"['gelora', 'abyan', 'nabilio', 'gelora', 'penjuru', 'tenggara', 'sorak', 'sorai', 'gebuk', 'gendang', 'telinga', 'malas', 'pasrah', 'takluk', 'tarung', 'bukti', 'ku', 'selam', 'palung', 'dalam', 'lompat', 'lewat', 'gedung', 'julang', 'curang', 'sigap', 'lawan', 'anthem', 'keras', 'nyanyi', 'kibar', 'kobar', 'merah', 'panas', 'dada', 'baskara', 'putra', 'gelora', 'takluk', 'semesta', 'tabuh', 'suara', 'gendang', 'nusantara', 'kalah', 'menang', 'perihal', 'nyali', 'panas', 'arang', 'tendang', 'tiang', 'tiang', 'menghadang', 'keras', 'panjat', 'halang', 'kekal', 'indonesia', 'akal']",negatif,0.9950751662254333
19,Dongker,Bertaruh Pada Api,Bertaruh Pada Api,indonesian punk,"[Verse 1]Bertaruh pada api Kuharap takkan mati Tapi sial, ini padam dan tak terang Percuma Oh-oh Percuma Oh-oh, oh-oh[Verse 2]Lagu ini dinyanyikan Mencari cinta yang abadi Mengajak siapapun Menari dan menari Karena Tak ada yang berubah Tak ada yang mengalah Di dunia yang angkuh Ku bersumpah Payah[Chorus]Diriku (ah-ah)Akan selalu mencarimu di setiap waktu Berharap tak hancur Sial (ah-ah)Aku selalu (ah-ah)Mencoba tuk menang dan tak Akan pernah memenangkan semua",taruh api harap tak mati sial padam terang lagu nyanyi cari cinta abadi ajak tari tari ubah kalah dunia angkuh ku sumpah payah diri cari harap hancur sial coba tuk menang menang,"['taruh', 'api', 'harap', 'tak', 'mati', 'sial', 'padam', 'terang', 'lagu', 'nyanyi', 'cari', 'cinta', 'abadi', 'ajak', 'tari', 'tari', 'ubah', 'kalah', 'dunia', 'angkuh', 'ku', 'sumpah', 'payah', 'diri', 'cari', 'harap', 'hancur', 'sial', 'coba', 'tuk', 'menang', 'menang']",negatif,0.9915279150009155
20,The Adams,Halo Beni,V2.05,"indonesian alternative rock, indonesian indie, indonesian indie rock","[Verse 1]Oh hawa Dan di luar terasa sungguh menggigilkan Dan nyamuk-nyamuk banyak bertebaran Aku hanya berkata peduli setan Oh crazy Tenaga Bertambah hingga dua belas kali lipat Dan kantuk terasa sirna sudah Aku siap lontarkan semua kata     Tenaga bertambah   Terasa sirna sudah [Pre-Chorus]Oh crazy Oh crazy Oh crazy[Chorus]Halo Halo Halo Halo Halo Halo Halo Halo Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni [Instrumental][Verse 2]Bicara Tiada arah dan juga tujuan Apa saja muncul ke permukaan Semoga matahari terlambat datang Bicara tiada  Muncul ke permukaan [Pre-Chorus]Oh crazy Oh Beni Oh crazy[Chorus]Halo Halo Halo Halo Halo Halo Halo Halo Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni Beni [Outro]Halo Halo Halo Halo Halo Halo Halo Halo Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni Beni, Beni Beni, Beni Beni, Beni, Beni",hawa sungguh gigil nyamuk nyamuk tebar peduli setan crazy tenaga tambah belas kali lipat kantuk sirna lontar tenaga tambah sirna crazy crazy crazy bicara tiada arah tuju muncul muka moga matahari lambat bicara tiada muncul muka crazy crazy outro,"['hawa', 'sungguh', 'gigil', 'nyamuk', 'nyamuk', 'tebar', 'peduli', 'setan', 'crazy', 'tenaga', 'tambah', 'belas', 'kali', 'lipat', 'kantuk', 'sirna', 'lontar', 'tenaga', 'tambah', 'sirna', 'crazy', 'crazy', 'crazy', 'bicara', 'tiada', 'arah', 'tuju', 'muncul', 'muka', 'moga', 'matahari', 'lambat', 'bicara', 'tiada', 'muncul', 'muka', 'crazy', 'crazy', 'outro']",negatif,0.9832460880279541
21,"Hindia, Petra Sihombing",Dehidrasi,Menari Dengan Bayangan,indonesian pop,"Lirik “Dehidrasi”[Verse 1]Lihatlah kebunku Penuh dengan ratusan pesan Whats App menggebu Selalu pura-pura lupa Membalas yang meminta Berkarya cuma-cuma Nihil m-BCAMemaksa wawancara dengan pertanyaan yang itu-itu saja Dengan yang dulu yakin bahwa ku takkan bisa Sekarang menyapa seakan sahabat lama[Pre-Chorus]Yang membuat resah, oh air yang keruh Siram jauh, tak usah kau sentuh[Chorus]Lepaskan dirimu, bersihkan lingkupmu Dari racun yang mengalir di dalam darahmu Lepaskan dirimu, bersihkan lingkupmu Dari racun yang bersuara tentang hidupmu Hati-hati dalam memilih racunmu Hati-hati dengan hati yang berduri Dehidrasi, mata air yang semu Dehidrasi, memaksa tanpa mengerti",dehidrasi lihat kebun penuh ratus pesan whats app gebu pura pura lupa balas karya nihil bcamemaksa wawancara ku tak sapa akan sahabat resah air keruh siram kau sentuh lepas diri sih lingkup racun alir darah lepas diri sih lingkup racun suara hidup hati hati pilih racun hati hati hati dur dehidrasi mata air semu dehidrasi paksa erti,"['dehidrasi', 'lihat', 'kebun', 'penuh', 'ratus', 'pesan', 'whats', 'app', 'gebu', 'pura', 'pura', 'lupa', 'balas', 'karya', 'nihil', 'bcamemaksa', 'wawancara', 'ku', 'tak', 'sapa', 'akan', 'sahabat', 'resah', 'air', 'keruh', 'siram', 'kau', 'sentuh', 'lepas', 'diri', 'sih', 'lingkup', 'racun', 'alir', 'darah', 'lepas', 'diri', 'sih', 'lingkup', 'racun', 'suara', 'hidup', 'hati', 'hati', 'pilih', 'racun', 'hati', 'hati', 'hati', 'dur', 'dehidrasi', 'mata', 'air', 'semu', 'dehidrasi', 'paksa', 'erti']",negatif,0.994341254234314
22,Morfem,Binar Wajah Sebaya,Binar Wajah Sebaya,"indonesian indie, indonesian indie rock, indonesian rock",[Verse 1}Perhelatan megah nian Penuh lampu dan bendera Dan layar besar terbentang kian ramai Wajah-wajah yang gembira Bangga ada di antara Kisah-kisah yang terjalin kian abadi{Chorus}Ooo dia berbinar selalu Ooo dia berbinar selalu Di genggaman dewasa Di ramai malam tersibak Raut sebaya bersahaja Dilanda kegirangan Melonjak entah mengapa Bersua raut sebaya bersahaja Berbinar[Verse 2]Berlompatan di trampolin Bola raksasa gelinding Terbesit sekali-kali wajah tadi Apa yang tengah terjadi Kubelum sempat mengerti Di bulir peluh terpercik kian jadi,helat megah nian penuh lampu bendera layar bentang kian ramai wajah wajah gembira bangga kisah kisah jalin kian abadi binar binar genggam dewasa ramai malam sibak raut baya sahaja landa girang lonjak sua raut baya sahaja binar lompat trampolin bola raksasa gelinding besit kali wajah belum erti bulir peluh percik kian,"['helat', 'megah', 'nian', 'penuh', 'lampu', 'bendera', 'layar', 'bentang', 'kian', 'ramai', 'wajah', 'wajah', 'gembira', 'bangga', 'kisah', 'kisah', 'jalin', 'kian', 'abadi', 'binar', 'binar', 'genggam', 'dewasa', 'ramai', 'malam', 'sibak', 'raut', 'baya', 'sahaja', 'landa', 'girang', 'lonjak', 'sua', 'raut', 'baya', 'sahaja', 'binar', 'lompat', 'trampolin', 'bola', 'raksasa', 'gelinding', 'besit', 'kali', 'wajah', 'belum', 'erti', 'bulir', 'peluh', 'percik', 'kian']",positif,0.9473410248756409
23,The Jeblogs,Sambutlah,Sambutlah,indonesian indie rock,"Sambutlah matahari Yang terbit di ufuk timur Membelah gelap Hangat merambat Membangunkan lelap Sampaikan salam kami Kepada bulan dan bintang Oh tenang saja Generasi baru telah tiba Uuuu Malam yang memuakkan harus diakhiri Gelapnya membungkam suara Jiwa baru yang putih serupa lilin Bakarlah kedua sisinya Uuuu Benih-benih bertumbuh di sela puing Harapan mencari jalannya Orang-orang muda berkobar menjelma cahaya Lajunya tak terbendung, jadi bersiaplah, maka rayakanlah Tabuh genderangnya Tiup terompetnya Nyalakan api di dadanya Sambutlah matahari Yang terbit di ufuk timur Membelah gelap Hangat merambat Membangunkan lelap Sampaikan salam kami Kepada bulan dan bintang Oh tenang saja Generasi baru telah tiba Uuuu Mungkin kita sampai Mungkin saja tidak Tugas kita hanyalah berjalan Sambutlah matahari Yang terbit di ufuk timur Membelah gelap Hangat merambat Membangunkan lelap Sampaikan salam kami Kepada bulan dan bintang Oh tenang saja Generasi baru telah Sambutlah matahari Yang terbit di ufuk timur Membelah gelap Hangat merambat Membangunkan lelap Sampaikan salam kami Kepada bulan dan bintang Oh tenang saja Generasi baru telah tiba Uuuu",sambut matahari terbit ufuk timur belah gelap hangat rambat bangun lelap salam bintang tenang generasi uuuu malam muak gelap bungkam suara jiwa putih lilin bakar sisi uuuu benih benih tumbuh puing harap cari jalan orang orang muda kobar jelma cahaya laju bendung siap raya tabuh genderang tiup terompet nyala api dada sambut matahari terbit ufuk timur belah gelap hangat rambat bangun lelap salam bintang tenang generasi uuuu tugas jalan sambut matahari terbit ufuk timur belah gelap hangat rambat bangun lelap salam bintang tenang generasi sambut matahari terbit ufuk timur belah gelap hangat rambat bangun lelap salam bintang tenang generasi uuuu,"['sambut', 'matahari', 'terbit', 'ufuk', 'timur', 'belah', 'gelap', 'hangat', 'rambat', 'bangun', 'lelap', 'salam', 'bintang', 'tenang', 'generasi', 'uuuu', 'malam', 'muak', 'gelap', 'bungkam', 'suara', 'jiwa', 'putih', 'lilin', 'bakar', 'sisi', 'uuuu', 'benih', 'benih', 'tumbuh', 'puing', 'harap', 'cari', 'jalan', 'orang', 'orang', 'muda', 'kobar', 'jelma', 'cahaya', 'laju', 'bendung', 'siap', 'raya', 'tabuh', 'genderang', 'tiup', 'terompet', 'nyala', 'api', 'dada', 'sambut', 'matahari', 'terbit', 'ufuk', 'timur', 'belah', 'gelap', 'hangat', 'rambat', 'bangun', 'lelap', 'salam', 'bintang', 'tenang', 'generasi', 'uuuu', 'tugas', 'jalan', 'sambut', 'matahari', 'terbit', 'ufuk', 'timur', 'belah', 'gelap', 'hangat', 'rambat', 'bangun', 'lelap', 'salam', 'bintang', 'tenang', 'generasi', 'sambut', 'matahari', 'terbit', 'ufuk', 'timur', 'belah', 'gelap', 'hangat', 'rambat', 'bangun', 'lelap', 'salam', 'bintang', 'tenang', 'generasi', 'uuuu']",positif,0.787423312664032
24,Perunggu,Ini Abadi,Memorandum,"indonesian indie, indonesian indie rock","[Lirik ""Ini Abadi""][Verse 1]Dihentak sunyi, geram gusarmu mulai Gerayangi kupingku Dibungkam lagi janji yang sumbang itu Tak semenarik dulu Sejuk wangimu tersisa di sela-sela Baju hangatku Terakhir kali kita bicarakan semua Besok kan bagaimana?[Pre-Chorus]Lihatlah semua sudut itu Bandung kan selalu memelukmu Dinginnya hangatkanmu selalu Dilengkapi lapisan selimut[Chorus]Yang berupa dekapan nadi yang Mengalir menjadi seruan Di hati bermuarakan kabar baru Tentang mimpi berkecukupan Tanpa harus lembur lagi Ke Gambir lagi Senin pagi Dilanjut taksi, tenangkanlah Ini abadi",abadi dihentak sunyi geram gusar gerayang kuping bungkam janji sumbang tarik sejuk wangi sisa baju hangat kali bicara besok lihat sudut bandung peluk dingin hangat lengkap lapis selimut dekap nadi alir seru hati muara kabar mimpi cukup lembur gambir senin pagi lanjut taksi tenang abadi,"['abadi', 'dihentak', 'sunyi', 'geram', 'gusar', 'gerayang', 'kuping', 'bungkam', 'janji', 'sumbang', 'tarik', 'sejuk', 'wangi', 'sisa', 'baju', 'hangat', 'kali', 'bicara', 'besok', 'lihat', 'sudut', 'bandung', 'peluk', 'dingin', 'hangat', 'lengkap', 'lapis', 'selimut', 'dekap', 'nadi', 'alir', 'seru', 'hati', 'muara', 'kabar', 'mimpi', 'cukup', 'lembur', 'gambir', 'senin', 'pagi', 'lanjut', 'taksi', 'tenang', 'abadi']",positif,0.9957844614982605
